Thread   Start(us)  B/E     Dur(us)  Name/Detail
------  ----------  ---  ----------  ------------------------------
  5846    67745969  BEG          12  AnnotateKernels
  5846    67745981  END          12  AnnotateKernels
  5846    67745985  BEG           2  VerifyKernels
  5846    67745987  END           2  VerifyKernels
  5846    67745990  BEG           1  LowerSemanticCF
  5846    67745992  END           1  LowerSemanticCF
  5846    67745995  BEG          23  CheckLifetimes
  5846    67746009  BEG           8  (A) SymbolTableAnalysis
  5846    67746017  END           8  (A) SymbolTableAnalysis
  5846    67746019  END          23  CheckLifetimes
  5846   547826123  BEG        5345  AnnotateKernels
  5846   547831468  END        5345  AnnotateKernels
  5846   547831474  BEG        1400  VerifyKernels
  5846   547832875  END        1400  VerifyKernels
  5846   547832880  BEG       68521  LowerSemanticCF
  5846   547901401  END       68521  LowerSemanticCF
  5846   547901406  BEG      115654  CheckLifetimes
  5846   547905801  BEG          24  (A) SymbolTableAnalysis
  5846   547905825  END          24  (A) SymbolTableAnalysis
  5846   548017061  END      115654  CheckLifetimes
  5846   759275982  BEG        5368  AnnotateKernels
  5846   759281351  END        5368  AnnotateKernels
  5846   759281356  BEG        1523  VerifyKernels
  5846   759282880  END        1523  VerifyKernels
  5846   759282885  BEG       10342  LowerSemanticCF
  5846   759293227  END       10342  LowerSemanticCF
  5846   759293232  BEG      120873  CheckLifetimes
  5846   759298351  BEG          31  (A) SymbolTableAnalysis
  5846   759298382  END          31  (A) SymbolTableAnalysis
  5846   759414106  END      120873  CheckLifetimes
  5846  1516894099  BEG        4360  AnnotateKernels
  5846  1516898459  END        4360  AnnotateKernels
  5846  1516898464  BEG        1171  VerifyKernels
  5846  1516899636  END        1171  VerifyKernels
  5846  1516899639  BEG        6849  LowerSemanticCF
  5846  1516906489  END        6849  LowerSemanticCF
  5846  1516906493  BEG       95607  CheckLifetimes
  5846  1516910985  BEG          22  (A) SymbolTableAnalysis
  5846  1516911007  END          22  (A) SymbolTableAnalysis
  5846  1517002101  END       95607  CheckLifetimes
  5846  1518857003  BEG        4377  AnnotateKernels
  5846  1518861380  END        4377  AnnotateKernels
  5846  1518861387  BEG        1341  VerifyKernels
  5846  1518862728  END        1341  VerifyKernels
  5846  1518862732  BEG        6925  LowerSemanticCF
  5846  1518869657  END        6925  LowerSemanticCF
  5846  1518869661  BEG       87877  CheckLifetimes
  5846  1518872755  BEG          17  (A) SymbolTableAnalysis
  5846  1518872772  END          17  (A) SymbolTableAnalysis
  5846  1518957539  END       87877  CheckLifetimes
  5846  1539124035  BEG        4346  AnnotateKernels
  5846  1539128381  END        4346  AnnotateKernels
  5846  1539128386  BEG        1089  VerifyKernels
  5846  1539129475  END        1089  VerifyKernels
  5846  1539129478  BEG        6622  LowerSemanticCF
  5846  1539136101  END        6622  LowerSemanticCF
  5846  1539136104  BEG       84126  CheckLifetimes
  5846  1539139734  BEG          20  (A) SymbolTableAnalysis
  5846  1539139755  END          20  (A) SymbolTableAnalysis
  5846  1539220231  END       84126  CheckLifetimes
  5846  1541064378  BEG        3796  AnnotateKernels
  5846  1541068175  END        3796  AnnotateKernels
  5846  1541068178  BEG        1035  VerifyKernels
  5846  1541069213  END        1035  VerifyKernels
  5846  1541069216  BEG        6963  LowerSemanticCF
  5846  1541076180  END        6963  LowerSemanticCF
  5846  1541076183  BEG       82817  CheckLifetimes
  5846  1541079445  BEG          19  (A) SymbolTableAnalysis
  5846  1541079464  END          19  (A) SymbolTableAnalysis
  5846  1541159001  END       82817  CheckLifetimes
  5846  1609022494  BEG           4  AnnotateKernels
  5846  1609022499  END           4  AnnotateKernels
  5846  1609022501  BEG           1  VerifyKernels
  5846  1609022503  END           1  VerifyKernels
  5846  1609022505  BEG           1  LowerSemanticCF
  5846  1609022506  END           1  LowerSemanticCF
  5846  1609022508  BEG          10  CheckLifetimes
  5846  1609022511  BEG           5  (A) SymbolTableAnalysis
  5846  1609022517  END           5  (A) SymbolTableAnalysis
  5846  1609022518  END          10  CheckLifetimes
  5846  1713299075  BEG        3700  AnnotateKernels
  5846  1713302776  END        3700  AnnotateKernels
  5846  1713302779  BEG         831  VerifyKernels
  5846  1713303611  END         831  VerifyKernels
  5846  1713303613  BEG        7100  LowerSemanticCF
  5846  1713310713  END        7100  LowerSemanticCF
  5846  1713310718  BEG       87642  CheckLifetimes
  5846  1713314134  BEG          18  (A) SymbolTableAnalysis
  5846  1713314152  END          18  (A) SymbolTableAnalysis
  5846  1713398360  END       87642  CheckLifetimes
  5846  2394246602  BEG        5081  AnnotateKernels
  5846  2394251684  END        5081  AnnotateKernels
  5846  2394251688  BEG        1473  VerifyKernels
  5846  2394253161  END        1473  VerifyKernels
  5846  2394253176  BEG        7557  LowerSemanticCF
  5846  2394260734  END        7557  LowerSemanticCF
  5846  2394260738  BEG       98369  CheckLifetimes
  5846  2394265380  BEG          28  (A) SymbolTableAnalysis
  5846  2394265408  END          28  (A) SymbolTableAnalysis
  5846  2394359108  END       98369  CheckLifetimes
  5846  2396221394  BEG        4048  AnnotateKernels
  5846  2396225443  END        4048  AnnotateKernels
  5846  2396225446  BEG         931  VerifyKernels
  5846  2396226377  END         931  VerifyKernels
  5846  2396226380  BEG        7026  LowerSemanticCF
  5846  2396233406  END        7026  LowerSemanticCF
  5846  2396233410  BEG       83178  CheckLifetimes
